id_pos	nama_pos	kabupaten	latitude	longitude	elevasi	satuan
PH001	Baso	Kab. Agam	-0.3	100.48	995.78	meter
PH002	GAW Palupuh	Kab. Agam	-0.18	100.34	999.61	meter
PH003	GAW Pasadama	Kab. Agam	-0.25	100.38	895.78	meter
PH004	Kamang Mudiak	Kab. Agam	-0.21	100.41	863.18	meter
PH005	Koto Tuo	Kab. Agam	-0.37	100.3	1316.18	meter
PH006	Lubuk Basung	Kab. Agam	-0.29	99.95	10.81	meter
PH007	Matur	Kab. Agam	-0.31	100.25	1176.01	meter
PH008	Palembayan	Kab. Agam	-0.19	100.23	781.54	meter
PH009	Tanjung Raya - Maninjau	Kab. Agam	-0.29	100.15	472.48	meter
PH010	Tiku	Kab. Agam	-0.37	99.91	3.4	meter
PH011	BPP Koto Baru	Kab. Dharmasraya	-1.04	101.67	89.17	meter
PH012	BPP Koto Salak	Kab. Dharmasraya	-1.19	101.73	106.24	meter
PH013	Sei Dareh	Kab. Dharmasraya	-1.06	101.5	168.27	meter
PH014	Sitiung	Kab. Dharmasraya	-1.01	101.59	101.9	meter
PH015	Timpeh	Kab. Dharmasraya	-0.91	101.62	101.32	meter
PH016	Muara Siberut	Kab. Kepulauan Mentawai	-1.63	99.18	30.08	meter
PH017	Muara Sikabaluan	Kab. Kepulauan Mentawai	-1.13	98.98	9.07	meter
PH018	Akabiluru	Kab. Lima Puluh Kota	-0.24	100.55	531.72	meter
PH019	BP3K Bukit Barisan	Kab. Lima Puluh Kota	-0.06	100.52	723.87	meter
PH020	BPP Tanjung Pati	Kab. Lima Puluh Kota	-0.17	100.66	504.3	meter
PH021	Guguak	Kab. Lima Puluh Kota	-0.16	100.57	514.36	meter
PH022	Luhak	Kab. Lima Puluh Kota	-0.28	100.68	818.99	meter
PH023	Muara Paiti	Kab. Lima Puluh Kota	0.24	100.55	117.36	meter
PH024	Padang Mangatas	Kab. Lima Puluh Kota	-0.27	100.68	724.37	meter
PH025	Pangkalan	Kab. Lima Puluh Kota	0.09	100.73	92.21	meter
PH026	Politani Tanjungpati	Kab. Lima Puluh Kota	-0.17	100.67	498.07	meter
PH027	Situjuah	Kab. Lima Puluh Kota	-0.29	100.64	757.09	meter
PH028	Suliki	Kab. Lima Puluh Kota	-0.1	100.5	534.65	meter
PH029	BIM-Bandara Internasional Minangkabau	Kab. Padang Pariaman	-0.79	100.29	8.45	meter
PH030	BPP Pilubang	Kab. Padang Pariaman	-0.54	100.1	9.79	meter
PH031	BPP Sintuk	Kab. Padang Pariaman	-0.65	100.26	38.25	meter
PH032	Kandang Ampek	Kab. Padang Pariaman	-0.5	100.34	292.36	meter
PH033	Kuliek	Kab. Padang Pariaman	-0.74	100.33	23.27	meter
PH034	Limau Purut	Kab. Padang Pariaman	-0.53	100.17	113.14	meter
PH035	Padang Laring	Kab. Padang Pariaman	-0.34	100.09	316.02	meter
PH036	Sei Geringging	Kab. Padang Pariaman	-0.42	100.08	212.78	meter
PH037	Staklim Padang Pariaman	Kab. Padang Pariaman	-0.55	100.3	112.01	meter
PH038	Sunur	Kab. Padang Pariaman	-0.67	100.19	9.29	meter
PH039	Tandikat	Kab. Padang Pariaman	-0.5	100.25	172.75	meter
PH040	Ulakan Tapakis	Kab. Padang Pariaman	-0.7	100.22	6.47	meter
PH041	Bonjol	Kab. Pasaman	-0.7	100.25	11.58	meter
PH042	Lubuk Sikaping	Kab. Pasaman	0.14	100.17	451.31	meter
PH043	Petok	Kab. Pasaman	0.29	100.1	250.83	meter
PH044	Rao	Kab. Pasaman	0.56	100.02	265.54	meter
PH045	Simpati	Kab. Pasaman	0.01	100.16	368.47	meter
PH046	UPT-BP Ladang Panjang	Kab. Pasaman	0.04	100.05	380.94	meter
PH047	Gunung Tuleh	Kab. Pasaman Barat	0.24	99.72	41.98	meter
PH048	Kinali	Kab. Pasaman Barat	-0.02	99.85	24	meter
PH049	Parit	Kab. Pasaman Barat	0.28	99.53	22.66	meter
PH050	Sasak	Kab. Pasaman Barat	0.01	99.7	1.5	meter
PH051	Sei Baremas	Kab. Pasaman Barat	0.24	99.45	19.28	meter
PH052	Sei Talang	Kab. Pasaman Barat	0.02	99.79	13.65	meter
PH053	Sukamenanti	Kab. Pasaman Barat	0.1	99.81	49.87	meter
PH054	UPTB Talamau	Kab. Pasaman Barat	0.19	99.95	524.42	meter
PH055	Air Pura	Kab. Pesisir Selatan	-1.99	100.95	52.47	meter
PH056	BPK Batang Kapas	Kab. Pesisir Selatan	-1.49	100.61	6.13	meter
